pais,region,tipo_propiedad,precio_usd,superficie_m2,habitaciones,banos
Perú,Lima,Departamento,280692,204,4,2
Perú,La Libertad,Departamento,122915,132,4,3
Perú,Lima,Casa,410820,264,1,3
Perú,La Libertad,Departamento,128004,187,1,1
Perú,La Libertad,Departamento,153111,210,3,1
Perú,Cusco,Departamento,103827,143,4,3
Perú,Arequipa,Departamento,61292,91,2,3
Perú,Arequipa,Departamento,116396,148,2,2
Perú,La Libertad,Departamento,158271,173,1,2
Perú,Arequipa,Casa,90510,80,1,1
Perú,La Libertad,Casa,256637,233,4,1
Perú,La Libertad,Departamento,161692,211,4,3
Perú,Lima,Departamento,109940,77,4,1
Perú,Cusco,Casa,247848,231,1,3
Perú,Lima,Departamento,99325,98,2,1
Perú,Lima,Departamento,118947,123,1,2
Perú,Lima,Casa,172328,130,2,3
Perú,Lima,Departamento,183442,151,2,1
Perú,Lima,Casa,268790,171,2,1
Perú,Lima,Casa,112469,65,4,2
Perú,La Libertad,Casa,198668,230,3,2
Perú,Lima,Departamento,213934,183,4,1
Perú,Lima,Departamento,250784,235,1,2
Perú,Arequipa,Casa,101918,92,1,3
Perú,La Libertad,Departamento,203757,250,4,1
Perú,Arequipa,Casa,228619,249,3,3
Perú,Cusco,Departamento,122458,147,1,3
Perú,Lima,Casa,430216,267,4,1
Perú,Lima,Casa,239858,145,3,3
Perú,Arequipa,Casa,258670,282,2,3
Perú,Lima,Casa,128430,74,1,3
Perú,Lima,Departamento,315049,249,3,3
Perú,Cusco,Departamento,85552,114,4,2
Perú,Lima,Casa,191165,106,1,2
Perú,Lima,Departamento,157093,163,4,1
Perú,Lima,Casa,387607,210,3,2
Perú,Lima,Departamento,219943,171,1,2
Perú,Lima,Casa,366824,239,2,2
Perú,Lima,Casa,70274,52,1,1
Perú,Lima,Departamento,369190,258,1,2
Perú,La Libertad,Casa,351011,285,4,3
Perú,Lima,Casa,208223,113,2,1
Perú,Lima,Departamento,193380,138,3,3
Perú,Lima,Casa,255141,203,4,3
Perú,Cusco,Departamento,126928,147,3,1
Perú,Piura,Casa,294639,296,2,2
Perú,Cusco,Departamento,120834,143,3,1
Perú,Lima,Casa,503283,291,2,1
Perú,La Libertad,Casa,148323,150,4,2
Perú,La Libertad,Departamento,238125,265,4,2
Perú,Arequipa,Casa,131262,140,3,1
Perú,Lima,Casa,237172,190,4,1
Perú,Lima,Departamento,289338,204,1,1
Perú,La Libertad,Departamento,88808,116,1,2
Perú,Piura,Departamento,125351,152,2,1
Perú,La Libertad,Casa,151464,142,3,2
Perú,Cusco,Casa,45585,50,1,3
Perú,Arequipa,Departamento,58721,90,2,1
Perú,Lima,Casa,423007,297,1,1
Perú,Cusco,Casa,230243,228,4,2
Perú,La Libertad,Departamento,184299,237,3,3
Perú,La Libertad,Departamento,175070,198,3,2
Perú,La Libertad,Casa,151314,165,4,1
Perú,Lima,Casa,192807,152,2,1
Perú,Lima,Casa,114995,64,1,3
Perú,Lima,Departamento,87475,89,4,2
Perú,La Libertad,Casa,332556,283,2,1
Perú,Lima,Departamento,326466,297,1,1
Perú,Lima,Departamento,134906,111,1,1
Perú,Lima,Casa,254884,150,4,3
Perú,Lima,Departamento,128699,110,4,3
Perú,Lima,Casa,387761,269,3,3
Perú,Arequipa,Departamento,217193,246,2,2
Perú,La Libertad,Departamento,53346,74,3,2
Perú,Lima,Casa,321935,172,4,3
Perú,Lima,Casa,415663,262,4,1
Perú,Lima,Departamento,105747,80,4,3
Perú,Lima,Casa,82114,58,4,2
Perú,Lima,Departamento,165627,117,3,1
Perú,Lima,Departamento,201547,151,3,1
Perú,Lima,Departamento,331471,282,2,3
Perú,Cusco,Departamento,230875,247,3,2
Perú,Cusco,Casa,100277,106,3,1
Perú,Lima,Departamento,133410,119,4,1
Perú,La Libertad,Departamento,85520,98,3,1
Perú,Piura,Departamento,99029,130,3,2
Perú,Lima,Departamento,168251,165,2,2
Perú,Arequipa,Casa,207670,238,4,3
Perú,Arequipa,Casa,179225,170,4,3
Perú,Lima,Departamento,90553,76,4,1
Perú,Piura,Casa,338990,276,4,3
Perú,La Libertad,Departamento,168767,197,4,3
Perú,Lima,Casa,255995,164,4,3
Perú,Lima,Departamento,333871,244,3,3
Perú,Arequipa,Casa,231230,257,1,1
Perú,Lima,Departamento,130433,124,4,1
Perú,Piura,Departamento,97621,106,1,2
Perú,Lima,Departamento,111031,111,1,3
Perú,Cusco,Departamento,171492,243,3,1
Perú,Arequipa,Casa,201485,184,2,3
Perú,Lima,Casa,354039,270,1,2
Perú,Piura,Departamento,68229,106,2,1
Perú,Piura,Casa,58293,55,4,2
Perú,Arequipa,Casa,286808,267,1,3
Perú,Arequipa,Departamento,127027,180,1,3
Perú,Lima,Casa,121020,73,2,2
Perú,Arequipa,Departamento,178002,268,2,3
Perú,Lima,Casa,240807,157,3,3
Perú,Arequipa,Departamento,71812,83,2,3
Perú,Arequipa,Departamento,234285,274,2,1
Perú,Arequipa,Departamento,46774,51,1,3
Perú,Lima,Casa,187426,102,2,3
Perú,La Libertad,Departamento,245924,297,2,2
Perú,Cusco,Casa,202893,242,4,3
Perú,Lima,Casa,243610,132,4,1
Perú,La Libertad,Casa,232354,209,4,2
Perú,Lima,Casa,115410,76,3,3
Perú,Lima,Departamento,281553,205,4,1
Perú,Arequipa,Departamento,194637,203,4,1
Perú,Arequipa,Departamento,189276,219,1,3
Perú,Lima,Departamento,210333,160,3,3
Perú,Lima,Casa,152944,118,2,3
Perú,Lima,Departamento,138886,111,3,2
Perú,Lima,Departamento,258954,187,3,3
Perú,Lima,Departamento,168543,126,3,2
Perú,Arequipa,Departamento,161572,169,4,3
Perú,La Libertad,Departamento,86130,122,3,1
Perú,Lima,Casa,140072,77,1,1
Perú,Lima,Departamento,155097,134,2,3
Perú,Arequipa,Casa,310889,299,2,3
Perú,Piura,Casa,78731,67,2,3
Perú,Arequipa,Departamento,43930,53,3,1
Perú,Lima,Casa,161349,117,1,3
Perú,Cusco,Casa,291596,291,2,2
Perú,Lima,Departamento,243430,182,4,1
Perú,Cusco,Departamento,142907,158,3,3
Perú,La Libertad,Departamento,229285,245,3,2
Perú,Arequipa,Departamento,82853,110,4,1
Perú,La Libertad,Casa,94662,81,1,2
Perú,Lima,Casa,196372,107,1,1
Perú,Lima,Departamento,67408,55,3,3
Perú,Lima,Casa,90202,54,1,3
Perú,Lima,Casa,133164,106,1,1
Perú,Lima,Departamento,248239,190,4,3
Perú,Lima,Departamento,255207,194,1,2
Perú,Arequipa,Casa,64016,67,2,1
Perú,Lima,Casa,484227,284,3,2
Perú,Lima,Departamento,174944,164,1,2
Perú,Arequipa,Casa,184899,216,2,3
Perú,Lima,Departamento,248628,175,4,3
Perú,Arequipa,Departamento,63735,82,3,3
Perú,Cusco,Departamento,196668,283,2,2
Perú,Lima,Casa,292276,178,4,3
Perú,Lima,Departamento,298779,294,1,3
Perú,Lima,Casa,90862,66,1,2
Perú,La Libertad,Departamento,85867,107,1,1
Perú,Lima,Departamento,218491,220,1,3
Perú,Arequipa,Departamento,244342,284,4,1
Perú,Cusco,Departamento,148862,169,1,1
Perú,La Libertad,Departamento,198782,292,2,1
Perú,Arequipa,Departamento,119142,132,1,1
Perú,Lima,Departamento,266035,230,1,2
Perú,Piura,Casa,208946,243,2,2
Perú,Lima,Departamento,217974,153,4,1
Perú,Piura,Casa,120239,115,2,3
Perú,Lima,Departamento,168656,172,3,3
Perú,Lima,Casa,183924,113,3,2
Perú,Lima,Casa,210586,165,3,3
Perú,Piura,Casa,334509,284,4,1
Perú,Lima,Departamento,173999,173,4,3
Perú,Lima,Casa,280065,185,2,1
Perú,Arequipa,Casa,98016,88,4,1
Perú,Lima,Departamento,313867,241,3,3
Perú,Cusco,Departamento,205796,269,2,1
