distrito,precio_usd,area_m2,dormitorios,banos,cocheras
Miraflores,285279,110,3,1,1.0
Surco,272052,142,2,1,1.0
San Isidro,484968,204,1,1,1.0
San Isidro,436411,166,2,3,0.0
San Isidro,583798,232,4,3,1.0
Miraflores,527190,245,2,1,1.0
San Miguel,249136,193,1,2,0.0
Comas,78439,125,4,1,0.0
San Martin de Porres,136487,157,3,3,1.0
San Miguel,244594,200,1,2,1.0
Los Olivos,47740,55,4,3,0.0
San Isidro,164222,58,4,2,1.0
Miraflores,423002,189,1,1,1.0
Miraflores,290052,116,4,3,1.0
Comas,119261,154,4,3,1.0
Los Olivos,47205,51,1,1,2.0
San Martin de Porres,97920,96,1,1,
Miraflores,514123,241,4,3,1.0
Comas,38019,62,1,2,1.0
San Isidro,436447,173,1,1,1.0
Comas,82196,129,2,1,0.0
Los Olivos,156621,145,2,2,2.0
Surco,93338,51,3,3,1.0
San Isidro,453330,180,4,1,1.0
Comas,60980,94,2,2,1.0
Comas,30299,42,4,3,1.0
Surco,90291,54,2,3,1.0
San Isidro,217890,89,2,1,0.0
Miraflores,337342,143,3,2,1.0
Los Olivos,86574,81,4,1,1.0
Surco,293984,169,1,3,1.0
San Miguel,82698,61,2,1,1.0
Los Olivos,69292,75,3,3,0.0
San Martin de Porres,231222,247,2,2,0.0
Los Olivos,95675,104,3,1,1.0
San Martin de Porres,92322,120,4,1,0.0
Surco,266777,170,2,3,1.0
Miraflores,286066,133,2,3,1.0
San Isidro,245340,95,1,2,0.0
Comas,160550,238,2,2,0.0
San Isidro,474170,168,4,1,1.0
San Miguel,226595,176,4,2,1.0
Surco,361356,206,2,3,0.0
Comas,162069,247,1,3,1.0
Surco,315992,204,2,2,1.0
San Martin de Porres,168037,164,4,2,1.0
Surco,413575,241,4,1,0.0
San Isidro,519200,244,2,1,0.0
Miraflores,563623,240,1,2,1.0
San Isidro,213384,81,3,3,0.0
San Isidro,252779,108,1,3,1.0
Comas,56553,95,1,2,1.0
Comas,161771,201,1,1,0.0
Surco,367420,227,1,2,0.0
San Martin de Porres,231361,225,3,2,0.0
San Miguel,122214,87,4,2,1.0
San Miguel,377625,247,1,1,0.0
Comas,86939,121,1,3,0.0
San Martin de Porres,96376,104,4,2,0.0
Comas,114142,144,1,2,1.0
Comas,66492,100,1,1,0.0
San Martin de Porres,99382,119,3,1,
Surco,333864,184,3,2,0.0
Surco,176395,100,3,1,1.0
Miraflores,102707,47,1,2,0.0
Los Olivos,193192,184,2,1,1.0
San Isidro,432049,171,3,1,2.0
Los Olivos,244481,243,2,2,
Los Olivos,146688,169,4,1,1.0
San Martin de Porres,112833,111,1,2,0.0
Los Olivos,96871,108,3,3,0.0
San Martin de Porres,84162,82,1,2,2.0
Miraflores,275908,137,3,3,2.0
Miraflores,246654,107,4,2,1.0
Comas,102088,151,3,1,1.0
Los Olivos,102249,102,1,3,1.0
Comas,124000,193,3,2,1.0
Miraflores,435434,208,1,2,1.0
Miraflores,376994,183,1,1,0.0
Comas,82537,124,3,1,0.0
Miraflores,309161,135,1,1,1.0
San Isidro,267387,113,2,3,1.0
Surco,87010,53,4,3,0.0
Miraflores,259099,114,2,3,2.0
Los Olivos,199999,201,4,2,0.0
Miraflores,387486,167,1,3,1.0
San Miguel,255537,175,3,2,0.0
San Isidro,501560,184,2,1,0.0
San Miguel,247748,204,1,3,
Los Olivos,260517,242,4,2,1.0
Comas,105233,133,1,3,0.0
San Martin de Porres,143306,164,1,2,1.0
Los Olivos,127318,145,3,3,1.0
San Isidro,250793,116,2,2,1.0
Los Olivos,266836,244,1,3,1.0
San Isidro,512748,184,2,3,0.0
Comas,114913,151,3,3,0.0
San Martin de Porres,51236,51,3,1,1.0
San Isidro,245445,102,2,1,1.0
Los Olivos,255362,226,4,2,1.0
Comas,192225,245,3,3,1.0
Comas,60875,85,1,2,1.0
San Miguel,143678,114,4,2,0.0
San Isidro,277012,122,4,1,1.0
Los Olivos,123509,112,3,1,0.0
San Isidro,105422,47,4,1,0.0
Comas,149730,232,2,2,0.0
Comas,99458,144,3,3,1.0
San Isidro,217447,96,3,3,1.0
San Isidro,382809,159,1,3,1.0
San Miguel,251659,197,2,1,0.0
Comas,122597,193,1,1,1.0
San Martin de Porres,153034,195,1,2,1.0
San Miguel,306260,232,1,3,1.0
San Martin de Porres,190851,246,1,3,2.0
San Isidro,113657,49,1,3,1.0
San Miguel,297994,229,1,3,1.0
San Miguel,97233,64,4,1,0.0
Los Olivos,100551,89,4,1,0.0
Los Olivos,35625,40,1,1,1.0
San Isidro,462739,186,2,1,1.0
Miraflores,123944,53,1,3,1.0
Miraflores,518349,214,4,3,1.0
Comas,109600,182,3,2,1.0
Surco,195750,111,3,1,1.0
Miraflores,274693,132,4,1,1.0
San Isidro,345555,129,4,3,0.0
San Martin de Porres,219017,233,4,3,0.0
Surco,83727,54,1,1,2.0
San Isidro,320600,134,2,1,
Miraflores,453311,214,4,1,1.0
Los Olivos,242407,211,3,3,0.0
Comas,71242,97,1,3,1.0
San Miguel,251974,197,3,3,0.0
San Martin de Porres,88968,91,3,1,0.0
Comas,107620,145,1,1,0.0
San Miguel,274132,191,1,2,0.0
San Isidro,227364,96,3,2,2.0
Miraflores,268420,111,4,2,0.0
Miraflores,200759,96,1,1,2.0
Miraflores,409322,170,3,2,1.0
San Isidro,524103,202,2,1,1.0
San Martin de Porres,115283,136,4,3,
San Martin de Porres,154884,157,3,3,1.0
Los Olivos,57741,54,4,2,0.0
Los Olivos,72108,65,3,1,1.0
Surco,183472,92,4,2,
San Martin de Porres,51262,52,1,3,0.0
Miraflores,143859,63,4,2,2.0
San Miguel,194684,139,4,1,0.0
San Martin de Porres,157663,162,3,3,0.0
Comas,27666,41,2,3,1.0
Surco,248193,128,4,3,1.0
Surco,376184,235,4,2,1.0
Miraflores,269573,122,2,2,0.0
Los Olivos,244122,216,3,3,0.0
Comas,47828,70,2,1,
Comas,53066,87,1,3,1.0
Surco,206921,108,3,3,2.0
San Isidro,272407,118,1,2,0.0
Los Olivos,149551,131,4,1,1.0
Los Olivos,58053,57,3,2,0.0
San Isidro,537634,226,3,2,1.0
Comas,38901,53,4,2,1.0
Comas,98232,139,2,2,0.0
Surco,411154,206,4,1,0.0
San Isidro,109996,40,3,2,2.0
Surco,168384,101,2,1,2.0
San Martin de Porres,40041,48,2,2,0.0
San Martin de Porres,91780,95,3,2,0.0
San Miguel,337406,245,2,2,1.0
Comas,143235,209,2,1,1.0
San Miguel,271533,180,2,1,1.0
Miraflores,500674,244,3,1,1.0
Los Olivos,97292,96,3,1,0.0
San Miguel,172150,108,1,1,1.0
San Isidro,510586,199,3,3,1.0
San Martin de Porres,203466,217,4,2,0.0
San Miguel,156285,100,4,2,0.0
Surco,138636,82,2,1,1.0
Los Olivos,210667,209,3,2,0.0
San Martin de Porres,179165,231,1,1,1.0
Los Olivos,245339,243,1,3,1.0
Los Olivos,81732,90,2,3,
Surco,93823,51,1,3,0.0
San Martin de Porres,173094,220,4,3,2.0
San Miguel,133294,91,4,2,1.0
Los Olivos,157493,158,2,3,1.0
San Isidro,497381,189,3,1,1.0
Los Olivos,129816,152,1,2,0.0
San Isidro,532647,186,2,3,2.0
Miraflores,248992,102,4,3,1.0
San Martin de Porres,93936,105,1,1,0.0
San Martin de Porres,197484,242,2,2,2.0
San Miguel,136728,111,1,1,1.0
Comas,157056,234,3,1,0.0
Surco,151067,93,3,2,2.0
Miraflores,520346,242,3,1,1.0
Los Olivos,178112,167,4,2,0.0
Los Olivos,87547,86,4,3,1.0
San Isidro,346483,162,1,2,1.0
San Isidro,299879,134,2,1,1.0
Surco,185375,98,3,1,2.0
San Isidro,503286,206,4,1,1.0
San Martin de Porres,57044,60,3,1,
San Isidro,183607,83,3,1,1.0
San Miguel,91429,67,4,3,1.0
San Isidro,346511,147,4,3,1.0
Miraflores,381775,168,3,3,0.0
San Miguel,62665,40,1,1,0.0
San Isidro,308657,139,4,1,1.0
Los Olivos,190379,200,1,1,1.0
Comas,171943,235,1,2,0.0
San Isidro,374470,161,1,1,1.0
Comas,79356,99,2,3,2.0
Los Olivos,238391,216,3,2,1.0
San Miguel,260614,183,4,3,1.0
Surco,268888,141,1,2,0.0
Comas,71305,119,1,1,1.0
San Miguel,221049,177,1,3,1.0
Surco,238568,153,3,3,1.0
San Martin de Porres,170682,180,1,3,1.0
San Martin de Porres,230858,227,1,1,1.0
Comas,44992,69,1,3,0.0
San Isidro,654973,236,3,2,2.0
San Martin de Porres,167916,200,2,2,1.0
San Isidro,99554,43,1,1,1.0
San Miguel,88445,55,3,2,0.0
Comas,92845,121,4,1,0.0
Miraflores,223317,112,1,2,0.0
Surco,105789,55,3,2,0.0
San Isidro,527059,191,4,3,1.0
San Martin de Porres,184270,186,1,1,0.0
Comas,111673,167,1,1,1.0
San Isidro,110857,41,1,2,1.0
San Martin de Porres,96892,109,4,2,0.0
San Miguel,209815,170,4,1,1.0
Comas,140640,204,1,2,0.0
Miraflores,359539,149,1,3,0.0
Comas,128372,164,4,1,2.0
Los Olivos,195517,227,4,2,0.0
San Isidro,115077,49,4,3,1.0
San Miguel,228780,164,1,3,
San Martin de Porres,46686,61,1,1,0.0
San Martin de Porres,38773,47,1,1,1.0
San Miguel,71391,45,4,2,0.0
San Isidro,337614,121,4,3,1.0
Miraflores,157570,64,3,2,0.0
Miraflores,338622,156,1,1,2.0
Comas,41636,55,1,3,1.0
Los Olivos,198803,220,2,2,2.0
Surco,324301,183,1,1,0.0
Surco,208937,128,4,1,1.0
Surco,130122,72,4,1,1.0
San Isidro,697419,249,4,1,1.0
San Isidro,225072,95,2,3,
Comas,82054,133,3,2,0.0
Miraflores,253408,116,4,1,1.0
San Martin de Porres,118883,125,4,1,1.0
San Isidro,562579,219,1,3,0.0
Los Olivos,229675,210,1,1,1.0
San Martin de Porres,119767,134,3,3,1.0
Comas,71041,108,2,1,0.0
Surco,474810,247,1,3,1.0
San Martin de Porres,94208,116,4,3,0.0
Miraflores,367082,159,1,1,2.0
San Martin de Porres,97099,116,3,3,2.0
San Miguel,287510,202,2,3,1.0
Miraflores,236194,114,4,1,1.0
San Martin de Porres,108972,113,3,3,0.0
Comas,143936,208,4,1,1.0
San Miguel,186598,116,3,3,1.0
Los Olivos,123658,143,3,2,0.0
San Miguel,206779,134,2,3,0.0
San Miguel,117117,85,1,3,0.0
Surco,221057,109,1,3,
Miraflores,423355,163,2,1,0.0
Miraflores,157431,79,1,3,1.0
Surco,286964,146,3,1,0.0
Miraflores,340607,169,1,2,1.0
Surco,351400,186,4,1,0.0
Miraflores,419429,159,2,1,0.0
San Miguel,300300,228,1,1,1.0
San Miguel,99624,77,2,1,1.0
San Martin de Porres,57330,57,3,1,0.0
Comas,61073,82,1,2,1.0
Los Olivos,103599,94,3,2,1.0
Los Olivos,75301,68,1,2,0.0
Surco,413113,241,3,1,1.0
San Martin de Porres,157173,177,1,3,0.0
Comas,144609,213,1,1,1.0
San Martin de Porres,34833,40,1,2,0.0
Surco,249944,130,2,2,0.0
Comas,61828,96,4,3,
San Martin de Porres,196777,208,1,1,0.0
Comas,84756,131,3,3,1.0
Miraflores,358639,160,2,1,1.0
San Isidro,227703,95,2,1,1.0
Comas,139029,228,2,1,1.0
Miraflores,504398,206,3,2,1.0
San Miguel,93785,74,4,1,1.0
San Miguel,234352,153,1,3,0.0
Comas,25542,40,4,1,2.0
Los Olivos,238469,245,1,3,0.0
Surco,320648,169,4,3,
Los Olivos,157379,183,1,2,2.0
Miraflores,435048,174,3,1,0.0
Miraflores,337702,151,3,3,1.0
Comas,105595,161,4,1,0.0
Los Olivos,64246,71,4,3,
San Isidro,448011,174,3,1,1.0
Surco,334729,184,2,2,1.0
San Miguel,209797,173,1,3,1.0
Comas,187332,244,3,2,0.0
Comas,95064,140,1,3,0.0
Comas,138919,202,4,3,1.0
San Martin de Porres,126536,141,4,3,0.0
Miraflores,286632,136,1,3,0.0
San Miguel,372749,232,1,3,0.0
Comas,91485,131,2,3,1.0
Surco,84057,54,4,1,0.0
San Martin de Porres,51853,65,4,2,0.0
San Isidro,292495,110,4,3,0.0
Surco,200491,120,3,1,1.0
Comas,130504,207,1,3,1.0
San Martin de Porres,123238,159,3,3,1.0
San Martin de Porres,70347,68,4,3,1.0
Miraflores,569488,221,1,1,0.0
Los Olivos,225487,211,1,2,2.0
San Miguel,226282,186,4,2,1.0
Surco,256069,141,4,3,1.0
Los Olivos,180931,210,1,3,1.0
San Miguel,240695,167,1,2,0.0
Los Olivos,66374,68,3,2,1.0
Surco,355802,220,3,3,
San Martin de Porres,89220,88,2,1,1.0
Comas,140792,221,3,3,0.0
San Miguel,156399,103,3,1,1.0
Los Olivos,51774,47,2,1,1.0
San Miguel,66111,50,2,3,0.0
Surco,396654,235,1,2,1.0
Miraflores,318026,145,4,1,2.0
Comas,135609,223,2,3,1.0
Surco,335174,169,1,3,1.0
San Miguel,252894,167,3,2,1.0
Miraflores,125836,60,4,2,0.0
San Martin de Porres,119105,144,1,1,1.0
San Martin de Porres,235856,239,4,2,0.0
Surco,457594,230,4,3,
Los Olivos,49492,49,1,2,0.0
Miraflores,158697,65,2,1,1.0
Comas,80607,134,3,2,1.0
San Isidro,275324,122,4,3,2.0
San Martin de Porres,114279,131,4,1,0.0
San Isidro,317358,125,4,2,1.0
Comas,47867,60,3,3,0.0
San Isidro,135401,55,2,3,1.0
Miraflores,492115,200,3,1,1.0
Los Olivos,232393,225,3,2,1.0
San Martin de Porres,190337,224,1,2,0.0
San Miguel,354453,240,1,3,1.0
Comas,66046,109,2,1,1.0
San Miguel,56091,45,3,2,0.0
San Martin de Porres,200668,227,3,2,1.0
Miraflores,255680,115,4,3,0.0
Miraflores,346540,154,2,1,0.0
Miraflores,108202,53,2,1,1.0
Los Olivos,57907,61,1,3,1.0
Los Olivos,208928,192,1,3,2.0
Comas,86552,144,2,1,0.0
Surco,319739,160,1,2,0.0
Los Olivos,43673,44,2,1,1.0
Surco,199286,107,3,2,1.0
Miraflores,400231,164,2,2,1.0
San Isidro,368364,172,4,3,0.0
Comas,97195,150,1,3,1.0
Surco,394146,219,2,3,1.0
Los Olivos,56188,55,1,3,1.0
San Isidro,226264,80,2,3,0.0
Comas,114895,186,1,2,2.0
Miraflores,303276,143,1,2,1.0
San Isidro,106855,47,4,1,0.0
Comas,145829,222,1,1,0.0
Miraflores,250684,95,1,1,1.0
San Martin de Porres,137523,161,2,1,0.0
Miraflores,154885,76,2,1,0.0
San Martin de Porres,183247,199,2,3,0.0
Surco,146588,72,1,2,0.0
Los Olivos,220251,248,2,3,
Miraflores,346536,167,1,1,1.0
San Miguel,68818,51,4,3,
Miraflores,125274,51,1,2,2.0
Miraflores,97839,46,2,3,0.0
San Isidro,217496,98,2,3,1.0
San Martin de Porres,107819,110,2,1,1.0
Surco,171174,108,3,1,0.0
Miraflores,368832,153,2,2,1.0
Comas,158257,236,3,3,1.0
Surco,428595,219,2,2,1.0
Miraflores,454691,203,4,1,1.0
Comas,63725,96,2,3,0.0
Surco,195630,97,3,3,0.0
Miraflores,488696,206,1,3,1.0
San Miguel,338683,221,1,2,1.0
San Martin de Porres,105312,112,4,3,0.0
San Isidro,454361,176,4,1,0.0
Comas,136667,183,3,3,1.0
San Martin de Porres,245160,243,4,3,1.0
San Martin de Porres,212797,241,4,1,1.0
San Martin de Porres,177058,179,2,2,2.0
Miraflores,157519,80,2,2,1.0
Comas,26552,44,2,3,0.0
Surco,433722,247,2,3,1.0
Miraflores,381199,193,2,3,1.0
Surco,147812,94,3,3,0.0
San Miguel,219987,165,1,2,1.0
San Martin de Porres,115482,122,1,3,1.0
Comas,63851,101,1,1,1.0
Miraflores,483887,217,4,3,0.0
San Isidro,394888,153,4,1,1.0
Surco,440299,247,3,3,2.0
Los Olivos,163404,147,1,2,0.0
Surco,308499,155,4,2,1.0
Surco,145333,80,1,1,0.0
San Isidro,420908,183,1,2,1.0
San Miguel,327282,205,3,2,1.0
Surco,185855,104,1,3,1.0
Miraflores,314430,138,3,3,0.0
Surco,362283,206,1,3,1.0
Comas,137692,179,2,1,
San Isidro,322319,147,2,3,1.0
Surco,301163,154,2,3,1.0
San Martin de Porres,187742,191,2,2,0.0
Comas,64908,84,1,2,
Comas,49074,76,2,3,1.0
San Isidro,672214,235,3,3,0.0
San Miguel,156108,129,4,3,1.0
San Isidro,409479,170,4,2,1.0
Comas,147502,237,3,3,0.0
San Martin de Porres,98406,116,3,2,0.0
Surco,344208,220,4,2,1.0
San Martin de Porres,145372,170,4,3,1.0
Comas,75945,101,4,1,0.0
Miraflores,538195,228,2,2,0.0
San Isidro,277728,119,1,3,1.0
Surco,190418,94,3,1,2.0
Miraflores,512459,202,1,3,0.0
San Martin de Porres,66202,79,3,1,1.0
Los Olivos,90255,92,4,3,1.0
Los Olivos,86107,94,4,1,0.0
Surco,250224,132,2,1,1.0
Comas,58248,86,4,1,1.0
Comas,151503,203,3,1,1.0
San Isidro,692294,245,1,1,0.0
San Martin de Porres,134503,165,4,1,2.0
San Isidro,372656,174,3,3,1.0
Comas,174516,221,3,3,1.0
Los Olivos,173441,196,4,1,0.0
San Isidro,345719,124,3,2,1.0
Comas,67628,108,1,2,
Surco,322107,187,4,2,0.0
Comas,52025,76,4,1,1.0
Surco,74884,43,1,3,1.0
Comas,143819,202,1,2,1.0
Comas,81693,131,4,2,1.0
San Miguel,195303,136,2,3,1.0
Comas,52714,75,2,3,1.0
San Miguel,336994,211,3,2,2.0
San Isidro,135017,60,4,3,2.0
Miraflores,219693,102,1,1,0.0
San Miguel,162738,102,4,3,1.0
Surco,273660,174,1,3,1.0
Comas,81900,119,3,2,0.0
Los Olivos,269052,234,1,2,0.0
San Miguel,309977,236,2,3,0.0
Surco,177765,112,1,3,0.0
Comas,144011,190,3,3,1.0
Surco,299354,195,3,1,1.0
Surco,153143,84,1,1,1.0
Los Olivos,108847,104,3,2,1.0
Comas,43296,69,4,2,1.0
Comas,104890,162,4,1,1.0
Comas,99075,126,2,3,2.0
Los Olivos,278102,245,3,1,2.0
Comas,133941,213,3,1,2.0
Surco,288545,154,4,1,1.0
San Isidro,229651,99,2,3,1.0
Miraflores,156908,61,1,2,1.0
Surco,267191,146,3,3,2.0
Surco,258509,150,4,1,0.0
San Miguel,73968,52,4,1,1.0
Comas,29836,40,3,3,0.0
Miraflores,338054,147,1,1,0.0
San Miguel,361916,231,2,1,0.0
Miraflores,194391,74,1,3,0.0
Los Olivos,41842,49,3,3,
Miraflores,169905,85,3,3,0.0
Miraflores,211623,106,2,3,0.0
San Miguel,169699,120,4,1,0.0
San Martin de Porres,66630,82,2,2,1.0
San Miguel,62882,43,3,2,0.0
San Isidro,177898,83,2,3,1.0
San Miguel,134751,113,3,3,0.0
San Isidro,312747,131,2,1,1.0
San Isidro,367987,147,3,2,1.0
Los Olivos,155792,146,4,2,1.0
Miraflores,195693,87,4,3,1.0
San Isidro,219421,83,1,1,1.0
San Martin de Porres,139326,169,4,3,0.0
San Isidro,493788,216,4,3,0.0
San Martin de Porres,125540,130,4,1,0.0
Comas,79224,117,4,1,0.0
San Martin de Porres,139024,150,2,3,1.0
Miraflores,231141,100,4,3,1.0
San Martin de Porres,107751,106,4,1,1.0
Los Olivos,223713,248,2,3,2.0
San Miguel,187188,141,4,3,0.0
Comas,45855,60,4,2,0.0
Surco,296326,189,1,2,0.0
San Isidro,516251,184,3,2,1.0
Los Olivos,51539,51,4,2,1.0
San Martin de Porres,94103,112,3,2,1.0
Los Olivos,86072,91,1,3,0.0
Comas,104716,175,3,1,0.0
Surco,231447,135,4,2,2.0
Miraflores,477027,219,4,3,0.0
Miraflores,82556,40,4,2,1.0
San Miguel,228143,142,4,2,1.0
Los Olivos,173131,172,4,1,0.0
Comas,72981,119,4,1,0.0
San Isidro,181756,83,3,3,
Comas,50619,63,4,3,0.0
Los Olivos,72422,77,1,1,1.0
Los Olivos,87668,92,3,2,1.0
Los Olivos,64584,57,3,1,0.0
San Martin de Porres,144923,143,4,1,0.0
Miraflores,294948,139,4,2,1.0
San Martin de Porres,52388,58,4,1,2.0
Miraflores,176141,76,1,1,1.0
San Miguel,304345,245,3,3,0.0
San Miguel,309116,213,2,2,1.0
Los Olivos,172268,157,1,3,1.0
Surco,125993,67,3,3,0.0
San Martin de Porres,108825,115,3,2,0.0
Surco,382659,242,3,3,0.0
San Martin de Porres,107988,117,1,1,1.0
Los Olivos,128989,118,2,2,1.0
San Miguel,247104,182,2,2,0.0
Surco,266438,134,4,1,0.0
Comas,87248,144,1,3,2.0
San Miguel,281436,224,4,2,0.0
Surco,162556,87,4,1,1.0
Los Olivos,63598,65,4,2,0.0
Los Olivos,146148,167,1,1,1.0
San Miguel,74347,52,3,3,1.0
San Martin de Porres,63268,64,1,2,0.0
Comas,113935,181,4,3,0.0
San Miguel,231393,180,3,2,0.0
Miraflores,441443,219,4,1,1.0
Miraflores,644624,246,2,2,0.0
Comas,51420,79,1,3,0.0
San Martin de Porres,61328,67,2,1,0.0
Comas,47564,63,1,2,1.0
Miraflores,317815,125,3,2,1.0
San Miguel,76042,54,2,1,1.0
San Isidro,335506,128,3,2,1.0
Los Olivos,148167,146,3,1,1.0
Los Olivos,183130,197,4,2,0.0
San Martin de Porres,150611,174,1,1,0.0
Miraflores,118860,50,3,2,0.0
Surco,401247,211,3,1,1.0
San Martin de Porres,206783,218,4,3,1.0
San Miguel,277080,220,1,2,2.0
San Martin de Porres,98260,118,3,2,1.0
Los Olivos,56539,56,1,3,1.0
San Martin de Porres,168479,200,1,3,0.0
San Isidro,388935,168,3,2,0.0
San Isidro,286502,133,3,3,1.0
Surco,229080,126,3,1,0.0
Miraflores,590436,235,4,1,0.0
Comas,141943,217,3,1,0.0
San Martin de Porres,53427,59,2,1,0.0
Los Olivos,187240,180,2,1,2.0
Los Olivos,52841,57,3,2,1.0
Miraflores,299692,133,4,2,2.0
Comas,88120,146,3,3,0.0
San Isidro,523776,185,2,3,1.0
Surco,159110,78,3,3,1.0
Los Olivos,217350,233,3,1,2.0
Comas,47516,73,3,2,1.0
Surco,204092,103,4,3,1.0
Comas,86760,136,4,1,0.0
Miraflores,524173,232,1,1,1.0
Los Olivos,47992,44,4,2,0.0
San Martin de Porres,86246,93,1,1,1.0
San Miguel,356973,227,2,2,1.0
Los Olivos,174998,195,3,2,0.0
Miraflores,392476,191,1,1,1.0
San Martin de Porres,100949,99,3,3,1.0
Surco,257603,151,2,3,1.0
Surco,319782,175,1,2,0.0
Los Olivos,169339,152,2,1,2.0
Surco,326723,177,3,1,1.0
San Isidro,287252,107,4,2,1.0
Los Olivos,198055,195,2,1,1.0
Surco,376832,185,2,1,1.0
Miraflores,317090,153,4,3,1.0
Los Olivos,125120,144,3,1,1.0
Miraflores,411648,201,1,3,1.0
San Martin de Porres,171761,209,4,1,0.0
Miraflores,487122,240,2,1,2.0
San Miguel,211773,138,3,1,1.0
San Martin de Porres,76984,92,4,2,
Surco,93963,56,2,3,0.0
Surco,394328,215,1,1,0.0
Comas,89125,144,2,1,1.0
Los Olivos,169898,159,1,1,0.0
San Isidro,213052,86,2,1,1.0
Los Olivos,151891,173,4,3,1.0
Los Olivos,128106,113,2,2,1.0
Surco,238805,152,2,2,1.0
Surco,403490,243,1,1,1.0
Surco,336301,218,4,3,0.0
Surco,216598,109,2,2,0.0
Surco,427075,235,2,3,0.0
Surco,366956,210,4,3,1.0
San Isidro,476535,192,4,3,0.0
Surco,409777,209,4,3,0.0
San Miguel,287078,194,1,2,0.0
Surco,164270,86,2,3,1.0
San Miguel,226174,164,1,3,0.0
San Miguel,243054,163,1,3,1.0
Los Olivos,165891,154,3,1,0.0
Los Olivos,152849,155,3,2,1.0
Comas,121674,159,3,1,0.0
San Martin de Porres,87643,103,4,1,0.0
Comas,106610,166,4,1,0.0
San Miguel,123305,87,2,1,0.0
San Miguel,118320,77,4,2,1.0
San Isidro,195581,75,4,2,1.0
Comas,107486,153,2,1,1.0
San Martin de Porres,252224,247,1,2,2.0
Los Olivos,120101,106,4,1,0.0
Comas,145281,188,1,2,1.0
Miraflores,258292,105,3,1,0.0
Los Olivos,143437,135,4,1,0.0
Surco,435810,223,1,3,2.0
San Miguel,268030,185,1,2,
Surco,320098,157,3,2,1.0
Los Olivos,224044,205,4,1,
Surco,249196,130,1,1,0.0
San Miguel,224311,156,3,1,1.0
Surco,228472,128,4,3,0.0
Surco,278711,139,2,3,0.0
Surco,286467,143,4,1,
Miraflores,283526,112,4,2,0.0
San Isidro,203720,81,2,1,1.0
San Miguel,138814,99,2,1,1.0
Miraflores,305207,135,2,3,1.0
San Martin de Porres,190852,243,3,3,0.0
Los Olivos,215886,249,3,3,0.0
San Isidro,495832,206,4,3,1.0
Surco,303224,177,2,1,0.0
Comas,77463,126,3,1,
Los Olivos,196305,194,3,3,0.0
Miraflores,90630,42,1,3,1.0
Miraflores,482965,216,1,1,0.0
Comas,152616,243,1,1,1.0
Miraflores,396334,174,3,2,
Los Olivos,155133,141,4,3,0.0
Miraflores,367510,166,1,1,2.0
San Miguel,142288,98,4,2,1.0
San Martin de Porres,252650,249,1,3,0.0
Los Olivos,230372,248,4,2,1.0
Los Olivos,85859,87,3,2,0.0
Comas,114665,165,1,2,0.0
Miraflores,453009,220,4,2,1.0
Los Olivos,49867,55,4,2,1.0
San Isidro,194491,70,3,2,1.0
Miraflores,425684,188,2,1,1.0
San Isidro,194534,69,1,1,2.0
Comas,38096,55,2,1,1.0
Comas,178835,227,4,3,1.0
Surco,174841,104,3,3,0.0
San Miguel,58470,49,2,3,1.0
Comas,147700,248,1,3,1.0
San Miguel,136200,108,2,1,1.0
San Isidro,178021,78,2,1,
San Martin de Porres,123618,121,1,1,2.0
Los Olivos,69595,77,1,2,0.0
Surco,218860,140,4,3,2.0
Miraflores,418741,166,4,2,0.0
San Martin de Porres,73040,87,4,2,0.0
San Martin de Porres,216453,211,2,1,1.0
Miraflores,298092,131,2,1,2.0
San Isidro,256518,96,4,1,2.0
San Martin de Porres,61119,74,3,1,0.0
Los Olivos,41286,48,3,3,1.0
Comas,132607,211,1,3,0.0
Comas,86211,125,3,3,1.0
San Isidro,556559,234,2,2,0.0
San Martin de Porres,123879,132,2,1,0.0
Miraflores,317860,124,1,3,1.0
San Miguel,275930,188,2,1,1.0
Miraflores,319333,139,2,1,1.0
Surco,146942,94,4,2,0.0
Los Olivos,154480,145,2,3,1.0
Miraflores,216568,101,1,3,1.0
San Martin de Porres,248836,244,4,3,1.0
Los Olivos,102365,107,2,2,1.0
Los Olivos,161276,151,3,2,1.0
Los Olivos,139960,161,3,1,
San Miguel,67603,48,2,2,1.0
Comas,67024,100,4,3,1.0
San Miguel,201907,161,1,1,1.0
San Miguel,194946,158,1,1,2.0
Los Olivos,114294,101,3,1,1.0
Los Olivos,212133,214,1,3,2.0
Surco,107386,58,3,1,1.0
Surco,196265,103,3,1,0.0
Comas,153462,241,1,2,2.0
Surco,319127,207,1,2,1.0
Miraflores,486442,211,3,3,0.0
San Isidro,174581,68,3,1,0.0
San Miguel,276157,215,2,3,1.0
Miraflores,459787,220,2,2,1.0
San Martin de Porres,93391,112,1,2,0.0
San Isidro,530965,245,1,2,1.0
San Martin de Porres,110296,122,3,2,1.0
Los Olivos,58649,60,4,2,0.0
Surco,196603,110,1,1,0.0
San Miguel,277716,181,2,2,1.0
Miraflores,522326,245,4,1,0.0
Surco,99974,53,2,1,0.0
Miraflores,108198,42,3,3,1.0
San Isidro,326050,143,4,3,0.0
Surco,293800,181,1,2,0.0
Miraflores,446536,191,1,1,0.0
Los Olivos,153294,167,1,2,1.0
San Martin de Porres,75456,90,3,2,0.0
San Martin de Porres,61542,68,4,2,1.0
San Martin de Porres,137806,161,2,2,1.0
